countrycode,country,year,incomeClass
BTN,Bhutan,1995,L
BTN,Bhutan,1996,L
BTN,Bhutan,1997,L
BTN,Bhutan,1998,L
BTN,Bhutan,1999,L
BTN,Bhutan,2000,L
BTN,Bhutan,2001,L
BTN,Bhutan,2002,L
BTN,Bhutan,2003,L
BTN,Bhutan,2004,L
BTN,Bhutan,2005,L
BTN,Bhutan,2006,L
BTN,Bhutan,2007,L
BTN,Bhutan,2008,LM
BTN,Bhutan,2009,LM
BTN,Bhutan,2010,LM
BTN,Bhutan,2011,LM
BTN,Bhutan,2012,LM
BTN,Bhutan,2013,LM
BTN,Bhutan,2014,LM
BOL,Bolivia,1991,LM
BOL,Bolivia,1992,LM
BOL,Bolivia,1993,LM
BOL,Bolivia,1994,LM
BOL,Bolivia,1995,LM
BOL,Bolivia,1996,LM
BOL,Bolivia,1997,LM
BOL,Bolivia,1998,LM
BOL,Bolivia,1999,LM
BOL,Bolivia,2000,LM
BOL,Bolivia,2001,LM
BOL,Bolivia,2002,LM
BOL,Bolivia,2003,LM
BOL,Bolivia,2004,LM
BOL,Bolivia,2005,LM
BOL,Bolivia,2006,LM
BOL,Bolivia,2007,LM
BOL,Bolivia,2008,LM
BOL,Bolivia,2009,LM
BOL,Bolivia,2010,LM
BOL,Bolivia,2011,LM
BOL,Bolivia,2012,LM
BOL,Bolivia,2013,LM
BOL,Bolivia,2014,LM
BIH,Bosnia and Herzegovina,1994,LM
BIH,Bosnia and Herzegovina,1995,L
BIH,Bosnia and Herzegovina,1996,L
BIH,Bosnia and Herzegovina,1997,L
BIH,Bosnia and Herzegovina,1998,L
BIH,Bosnia and Herzegovina,1999,L
BIH,Bosnia and Herzegovina,2000,LM
BIH,Bosnia and Herzegovina,2001,LM
BIH,Bosnia and Herzegovina,2002,LM
BIH,Bosnia and Herzegovina,2003,LM
BIH,Bosnia and Herzegovina,2004,LM
BIH,Bosnia and Herzegovina,2005,LM
BIH,Bosnia and Herzegovina,2006,LM
BIH,Bosnia and Herzegovina,2007,LM
BIH,Bosnia and Herzegovina,2008,LM
BIH,Bosnia and Herzegovina,2009,LM
BIH,Bosnia and Herzegovina,2010,UM
BIH,Bosnia and Herzegovina,2011,UM
BIH,Bosnia and Herzegovina,2012,UM
BIH,Bosnia and Herzegovina,2013,UM
BIH,Bosnia and Herzegovina,2014,UM
BWA,Botswana,1991,LM
BWA,Botswana,1992,LM
BWA,Botswana,1993,UM
BWA,Botswana,1994,UM
BWA,Botswana,1995,LM
BWA,Botswana,1996,LM
BWA,Botswana,1997,LM
BWA,Botswana,1998,LM
BWA,Botswana,1999,UM
BWA,Botswana,2000,UM
BWA,Botswana,2001,UM
BWA,Botswana,2002,UM
BWA,Botswana,2003,UM
BWA,Botswana,2004,UM
BWA,Botswana,2005,UM
BWA,Botswana,2006,UM
BWA,Botswana,2007,UM
BWA,Botswana,2008,UM
BWA,Botswana,2009,UM
BWA,Botswana,2010,UM
BWA,Botswana,2011,UM
BWA,Botswana,2012,UM
BWA,Botswana,2013,UM
BWA,Botswana,2014,UM
BRA,Brazil,1991,UM
BRA,Brazil,1992,UM
BRA,Brazil,1993,UM
BRA,Brazil,1994,UM
BRA,Brazil,1995,UM
BRA,Brazil,1996,UM
BRA,Brazil,1997,UM
BRA,Brazil,1998,UM
BRA,Brazil,1999,UM
BRA,Brazil,2000,UM
BRA,Brazil,2001,UM
BRA,Brazil,2002,UM
BRA,Brazil,2003,UM
BRA,Brazil,2004,LM
BRA,Brazil,2005,LM
BRA,Brazil,2006,LM
BRA,Brazil,2007,LM
BRA,Brazil,2008,UM
BRA,Brazil,2009,UM
BRA,Brazil,2010,UM
BRA,Brazil,2011,UM
BRA,Brazil,2012,UM
BRA,Brazil,2013,UM
BRA,Brazil,2014,UM
BRN,Brunei Darussalam,1991,Missing
BRN,Brunei Darussalam,1992,H
BRN,Brunei Darussalam,1993,H
BRN,Brunei Darussalam,1994,H
BRN,Brunei Darussalam,1995,H
BRN,Brunei Darussalam,1996,H
BRN,Brunei Darussalam,1997,H
BRN,Brunei Darussalam,1998,H
BRN,Brunei Darussalam,1999,H
BRN,Brunei Darussalam,2000,H
BRN,Brunei Darussalam,2001,H
BRN,Brunei Darussalam,2002,H
BRN,Brunei Darussalam,2003,H
BRN,Brunei Darussalam,2004,H
BRN,Brunei Darussalam,2005,H
BRN,Brunei Darussalam,2006,H
BRN,Brunei Darussalam,2007,H
BRN,Brunei Darussalam,2008,H
BRN,Brunei Darussalam,2009,H
BRN,Brunei Darussalam,2010,H
BRN,Brunei Darussalam,2011,H
BRN,Brunei Darussalam,2012,H
BRN,Brunei Darussalam,2013,H
BRN,Brunei Darussalam,2014,H
BGR,Bulgaria,1991,LM
BGR,Bulgaria,1992,LM
BGR,Bulgaria,1993,LM
BGR,Bulgaria,1994,LM
BGR,Bulgaria,1995,LM
BGR,Bulgaria,1996,LM
BGR,Bulgaria,1997,LM
BGR,Bulgaria,1998,LM
BGR,Bulgaria,1999,LM
